ID,SEASON,W_WS_LOC,HW_TOTAL,HW_WORRY,HW_INTERR,HW_CLOTHES,HW_PLANS,HW_FOOD,HW_HANDS,HW_BODY,HW_DRINK,HW_ANGRY,HW_SLEEP,HW_NONE,HW_SHAME,HW_INFO,PSS1,PSS2,PSS3,PSS4,PSS5,PSS6,PSS7,PSS8,PSS9,PSS10,PSS11,PSS12,PSS13,PSS14,PSS_TOTAL,PSS_INFO
123,Oct-Dec,WS,NA,0,1,0,0,0,0,0,0,1,0,0,0,,2,2,2,3,3,3,3,2,3,3,1,2,3,1,N/A,
124,Oct-Dec,WS,NA,3,3,0,3,0,0,0,2,0,0,0,0,1) a veces 2) nunca habido buena prison 4) la presion: escuchar el avdeo? p/ ejemplos 9) a veces,2,2,4,4,3,4,3,1,3,2,2,4,4,1,N/A,
125,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,4,0,1,2,0,2,3,2,4,4,4,4,N/A,
126,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,4,4,4,3,3,2,1,4,3,2,4,3,3,4,N/A,
127,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,0,0,,3,4,4,2,2,2,2,3,2,2,4,4,3,3,N/A,
128,Oct-Dec,WS,NA,3,2,1,1,0,0,0,0,1,0,2,0,,4,1,4,3,4,4,2,2,4,3,1,3,4,1,N/A,
129,Oct-Dec,WS,NA,0,0,0,1,0,0,1,1,1,0,0,0,,3,2,4,2,1,0,2,4,3,0,1,4,2,2,N/A,
130,Oct-Dec,WS,NA,0,1,1,0,0,0,0,0,1,0,1,0,,1,1,2,3,3,2,3,2,3,2,2,4,3,2,N/A,
131,Oct-Dec,WS,NA,3,2,1,1,1,0,1,1,2,1,1,0,,0,3,4,2,2,3,1,1,3,4,4,3,4,4,N/A,
132,Oct-Dec,WS,NA,0,0,0,0,0,0,0,0,0,0,3,0,,1,1,2,4,4,3,3,1,3,4,1,2,2,1,N/A,
133,Oct-Dec,WS,NA,1,0,0,0,0,0,0,1,0,0,0,0,Bebida-cuando no pasa el vendedor de agua,1,1,4,0,3,3,2,2,3,4,1,4,1,1,N/A,
134,Oct-Dec,WS,NA,1,2,0,0,0,0,0,0,0,1,0,0,,2,3,2,2,2,4,3,2,2,4,4,4,2,2,N/A,
135,Oct-Dec,WS,NA,0,2,0,0,0,0,0,0,0,0,0,1,,2,2,2,3,3,2,3,2,3,2,1,3,2,1,N/A,
136,Oct-Dec,WS,NA,1,1,1,0,0,0,0,1,0,0,1,0,Bebida-se acaba garrafon,2,0,2,2,1,2,2,1,2,1,3,2,3,2,N/A,
137,Oct-Dec,WS,NA,0,1,1,0,0,1,1,0,1,0,0,0,,1,2,3,4,3,4,4,2,3,4,4,3,3,1,N/A,
138,Oct-Dec,WS,NA,2,2,3,3,2,0,3,0,3,0,0,0,,4,4,4,3,4,2,3,4,4,4,4,3,4,4,N/A,"Hay un ? de preguntas 9 y 10, no es claro si los dos son ""4"" o si solo uno y el otro no tenia una repuesta"
139,Oct-Dec,WS,NA,0,1,0,0,0,0,1,1,1,0,0,1,Vergüenza - le hace sentir que gente mar de lo que dese,2,3,3,2,3,2,2,3,4,2,4,3,2,3,N/A,
140,Oct-Dec,WS,NA,0,1,0,0,0,0,0,0,1,0,1,0,"8) Bebida: tienen purificadora 24 horas --> maquinita --> 1 anio. A veces purificadora acaba el agua.
11) Ninguno: si esta especial % sucia--> no lavan ropa blanca.",2,1,2,3,3,3,3,1,3,2,2,4,3,1,N/A,
141,Oct-Dec,WS,NA,0,1,1,2,1,2,2,0,3,0,1,0,,3,4,3,1,1,1,1,2,2,1,3,3,2,3,N/A,
